Timestamp,Temperature_Celsius,Relative_Humidity,Date,Season,Wind,ApparentTemperature
2021-01-09 12:00:00,21.0,35.0,2021-01-09 12:00:00,winter,0.15,22.1
2021-01-09 18:00:00,23.0,25.0,2021-01-09 18:00:00,winter,0.15,23.4
2021-01-10 00:00:00,21.0,26.0,2021-01-10 00:00:00,winter,0.15,21.2
2021-01-10 06:00:00,21.0,27.0,2021-01-10 06:00:00,winter,0.15,21.3
2021-01-10 12:00:00,21.0,29.0,2021-01-10 12:00:00,winter,0.15,21.5
2021-01-10 18:00:00,21.0,33.0,2021-01-10 18:00:00,winter,0.15,21.9
2021-01-11 00:00:00,21.0,37.0,2021-01-11 00:00:00,winter,0.15,22.3
2021-01-11 06:00:00,24.0,32.0,2021-01-11 06:00:00,winter,0.15,25.4
2021-01-11 12:00:00,27.0,26.0,2021-01-11 12:00:00,winter,0.15,28.3
2021-01-11 18:00:00,25.0,27.0,2021-01-11 18:00:00,winter,0.15,26.0
2021-01-12 00:00:00,22.0,29.0,2021-01-12 00:00:00,winter,0.15,22.7
2021-01-12 06:00:00,22.0,32.0,2021-01-12 06:00:00,winter,0.15,23.0
2021-01-12 12:00:00,25.0,27.0,2021-01-12 12:00:00,winter,0.15,26.0
2021-01-12 18:00:00,24.0,33.0,2021-01-12 18:00:00,winter,0.15,25.5
2021-01-13 00:00:00,20.0,39.0,2021-01-13 00:00:00,winter,0.15,21.2
2021-01-13 06:00:00,22.0,36.0,2021-01-13 06:00:00,winter,0.15,23.4
2021-01-13 12:00:00,25.0,29.0,2021-01-13 12:00:00,winter,0.15,26.2
2021-01-13 18:00:00,24.0,31.0,2021-01-13 18:00:00,winter,0.15,25.3
2021-01-14 00:00:00,20.0,34.0,2021-01-14 00:00:00,winter,0.15,20.8
2021-01-14 06:00:00,20.0,36.0,2021-01-14 06:00:00,winter,0.15,21.0
2021-01-14 12:00:00,20.0,37.0,2021-01-14 12:00:00,winter,0.15,21.1
2021-01-14 18:00:00,21.0,36.0,2021-01-14 18:00:00,winter,0.15,22.2
2021-01-15 00:00:00,21.0,37.0,2021-01-15 00:00:00,winter,0.15,22.3
2021-01-15 06:00:00,25.0,33.0,2021-01-15 06:00:00,winter,0.15,26.7
2021-01-15 12:00:00,26.0,30.0,2021-01-15 12:00:00,winter,0.15,27.6
2021-01-15 18:00:00,24.0,45.0,2021-01-15 18:00:00,winter,0.15,26.8
2021-01-16 00:00:00,22.0,39.0,2021-01-16 00:00:00,winter,0.15,23.7
2021-01-16 06:00:00,20.0,39.0,2021-01-16 06:00:00,winter,0.15,21.2
2021-01-16 12:00:00,21.0,47.0,2021-01-16 12:00:00,winter,0.15,23.2
2021-01-16 18:00:00,24.0,41.0,2021-01-16 18:00:00,winter,0.15,26.4
2021-01-17 00:00:00,22.0,45.0,2021-01-17 00:00:00,winter,0.15,24.3
2021-01-17 06:00:00,22.0,42.0,2021-01-17 06:00:00,winter,0.15,24.0
2021-01-17 12:00:00,24.0,38.0,2021-01-17 12:00:00,winter,0.15,26.0
2021-01-17 18:00:00,24.0,36.0,2021-01-17 18:00:00,winter,0.15,25.8
2021-01-18 00:00:00,22.0,38.0,2021-01-18 00:00:00,winter,0.15,23.6
2021-01-18 06:00:00,20.0,36.0,2021-01-18 06:00:00,winter,0.15,21.0
